File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\xampp\htdocs\elearning\config.php,49,43,26,9,3,0,3,12,0,0
C:\xampp\htdocs\elearning\index.php,108,105,5,2,3,0,0,0,0,0
C:\xampp\htdocs\elearning\initialize.php,10,10,7,7,0,1,0,1,0,0
C:\xampp\htdocs\elearning\mail.php,40,28,8,0,12,0,0,0,0,0
C:\xampp\htdocs\elearning\portal.php,114,109,30,1,5,0,0,0,0,0
C:\xampp\htdocs\elearning\ppt-view.php,1,1,0,0,0,0,0,0,0,0
C:\xampp\htdocs\elearning\404.html,8,6,0,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\about.html,39,31,0,0,8,0,0,0,0,0
C:\xampp\htdocs\elearning\index.html,33,28,0,0,5,0,0,0,0,0
C:\xampp\htdocs\elearning\index3.html,31,28,0,0,3,0,0,0,0,0
C:\xampp\htdocs\elearning\LocMetrics.html,1,1,0,0,0,0,0,0,0,0
C:\xampp\htdocs\elearning\LocMetricsFunctions.html,1,1,0,0,0,0,0,0,0,0
C:\xampp\htdocs\elearning\welcome.html,1,1,0,0,0,0,0,0,0,0
C:\xampp\htdocs\elearning\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
C:\xampp\htdocs\elearning\style.css,239,229,179,0,8,1,2,5,0,0
C:\xampp\htdocs\elearning\style3.css,97,83,58,0,14,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\home.php,153,145,0,0,8,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\index.php,109,106,5,2,3,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\login.php,72,67,2,0,5,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\404.html,9,7,0,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\index.html,33,28,0,0,5,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\style.css,239,229,179,0,8,1,2,5,0,0
C:\xampp\htdocs\elearning\admin\style1.css,103,100,70,0,3,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\academic\index.php,87,86,17,3,1,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\academic\manage_sy.php,62,60,20,2,2,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\class\index.php,84,83,15,2,1,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\class\load_subject.php,62,57,20,3,5,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\class\manage_class.php,82,80,23,4,2,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\course\index.php,79,78,13,2,1,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\course\manage_course.php,59,57,20,2,2,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\department\index.php,79,78,13,2,1,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\department\manage_department.php,59,57,20,2,2,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\faculty\card.php,74,72,20,5,2,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\faculty\index.php,94,93,14,2,1,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\faculty\manage.php,150,147,29,6,3,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\faculty\manage_class.php,62,57,20,3,5,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\inc\defaultNav.php,164,156,0,0,8,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\inc\footer.php,124,122,14,3,2,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\inc\header.php,57,54,9,0,3,1,0,2,0,0
C:\xampp\htdocs\elearning\admin\inc\navigation.php,148,145,9,4,3,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\inc\sess_auth.php,23,22,15,5,1,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\inc\topBarNav.php,62,61,0,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\students\card.php,74,72,20,5,2,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\students\index.php,95,93,14,2,2,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\students\manage.php,138,135,28,5,3,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\students\manage_class.php,64,60,21,3,4,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\subject\index.php,79,78,13,2,1,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\subject\manage_subject.php,59,57,20,2,2,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\system_info\index.php,87,83,13,1,4,0,0,0,0,0
C:\xampp\htdocs\elearning\admin\user\index.php,97,95,20,2,2,0,0,0,0,0
C:\xampp\htdocs\elearning\classes\DBConnection.php,31,24,16,3,7,0,0,0,0,0
C:\xampp\htdocs\elearning\classes\Login.php,129,120,83,26,9,0,0,0,0,0
C:\xampp\htdocs\elearning\classes\Master.php,522,481,367,128,38,0,3,6,0,0
C:\xampp\htdocs\elearning\classes\SystemSettings.php,135,133,91,42,0,0,2,3,0,0
C:\xampp\htdocs\elearning\classes\Users.php,188,172,123,52,15,0,1,2,0,0
C:\xampp\htdocs\elearning\classes\Zone.php,76,72,54,20,3,0,1,2,0,0
C:\xampp\htdocs\elearning\database\elearning.sql,501,220,0,0,100,7,181,303,8,22
C:\xampp\htdocs\elearning\dist\css\adminlte.css,32974,27469,18036,0,5484,0,21,74,12,41
C:\xampp\htdocs\elearning\dist\css\adminlte.min.css,12,1,6685,0,0,1,11,44,10,41
C:\xampp\htdocs\elearning\dist\css\custom.css,66,63,52,0,2,0,1,2,0,0
C:\xampp\htdocs\elearning\dist\css\alt\adminlte.components.css,6248,4960,3016,0,1280,0,8,25,7,22
C:\xampp\htdocs\elearning\dist\css\alt\adminlte.components.min.css,8,1,1282,0,0,1,7,25,6,22
C:\xampp\htdocs\elearning\dist\css\alt\adminlte.core.css,18349,15760,10561,0,2575,0,14,47,13,44
C:\xampp\htdocs\elearning\dist\css\alt\adminlte.core.min.css,13,1,3755,0,0,1,12,47,11,44
C:\xampp\htdocs\elearning\dist\css\alt\adminlte.extra-components.css,1148,944,680,0,196,0,8,26,7,23
C:\xampp\htdocs\elearning\dist\css\alt\adminlte.extra-components.min.css,8,1,210,0,0,1,7,26,6,23
C:\xampp\htdocs\elearning\dist\css\alt\adminlte.pages.css,643,525,382,0,110,0,8,25,7,22
C:\xampp\htdocs\elearning\dist\css\alt\adminlte.pages.min.css,8,1,116,0,0,1,7,25,6,22
C:\xampp\htdocs\elearning\dist\css\alt\adminlte.plugins.css,6588,5250,3375,0,1322,0,16,55,7,22
C:\xampp\htdocs\elearning\dist\css\alt\adminlte.plugins.min.css,8,1,1327,0,0,1,7,25,6,22
C:\xampp\htdocs\elearning\faculty\home.php,63,61,0,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\index.php,109,106,5,2,3,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\login.php,72,67,2,0,5,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\404.html,9,7,0,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\about.html,39,31,0,0,8,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\index.html,33,28,0,0,5,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\style.css,239,229,179,0,8,1,2,5,0,0
C:\xampp\htdocs\elearning\faculty\style1.css,103,100,70,0,3,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\class\index.php,85,83,17,2,2,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\inc\defaultNav.php,164,156,0,0,8,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\inc\footer.php,124,122,14,3,2,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\inc\header.php,57,54,9,0,3,1,0,2,0,0
C:\xampp\htdocs\elearning\faculty\inc\navigation.php,97,94,9,4,3,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\inc\sess_auth.php,23,22,15,5,1,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\inc\topBarNav.php,57,56,0,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\lesson\index.php,95,90,19,2,5,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\lesson\manage_lesson.php,125,122,29,7,3,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\lesson\view_lesson.php,103,103,22,4,0,0,0,0,0,0
C:\xampp\htdocs\elearning\faculty\user\index.php,93,91,20,2,2,0,0,0,0,0
C:\xampp\htdocs\elearning\inc\defaultNav.php,164,156,0,0,8,0,0,0,0,0
C:\xampp\htdocs\elearning\inc\footer.php,124,122,14,3,2,0,0,0,0,0
C:\xampp\htdocs\elearning\inc\header.php,57,53,8,0,3,1,1,3,0,0
C:\xampp\htdocs\elearning\inc\navigation.php,121,119,7,4,2,0,0,0,0,0
C:\xampp\htdocs\elearning\inc\sess_auth.php,18,14,9,3,1,0,3,7,0,0
C:\xampp\htdocs\elearning\inc\topBarNav.php,61,59,0,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\libs\style.css,80,78,65,0,0,0,2,2,1,1
C:\xampp\htdocs\elearning\libs\css\bootstrap.min.css,6,1,1515,0,0,1,5,32,4,29
C:\xampp\htdocs\elearning\libs\phpqrcode\phpqrcode.php,3313,2160,1459,449,658,70,495,2814,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrbitstream.php,181,113,78,33,35,0,33,187,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrconfig.php,17,8,7,0,4,7,5,106,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrconst.php,54,18,15,0,8,0,28,188,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrencode.php,503,357,270,65,96,2,50,215,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrimage.php,95,54,40,7,16,0,25,165,0,0
C:\xampp\htdocs\elearning\libs\phpqrcode\qrinput.php,729,515,356,132,151,0,63,219,0,0
